table_name,column_name,data_type,udt_name,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,constraint_type,references_table
jobs,id,uuid,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
jobs,workgroup_id,uuid,uuid,null,null,null,NO,null,FOREIGN KEY,workgroups
jobs,title,text,text,null,null,null,NO,null,null,null
jobs,description,text,text,null,null,null,YES,null,null,null
jobs,budget,numeric,numeric,null,12,2,YES,null,null,null
jobs,est_duration_days,integer,int4,null,32,0,YES,null,null,null
jobs,sequence,integer,int4,null,32,0,YES,1,null,null
jobs,status,text,text,null,null,null,YES,'not_started'::text,null,null
jobs,invoice_id,uuid,uuid,null,null,null,YES,null,FOREIGN KEY,invoices
jobs,created_at,timestamp with time zone,timestamptz,null,null,null,YES,now(),null,null
jobs,updated_at,timestamp with time zone,timestamptz,null,null,null,YES,now(),null,null
jobs,worksite_id,uuid,uuid,null,null,null,YES,null,FOREIGN KEY,worksites
messages,id,uuid,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
messages,workgroup_id,uuid,uuid,null,null,null,NO,null,FOREIGN KEY,workgroups
messages,sender_id,uuid,uuid,null,null,null,NO,null,null,null
messages,sender_type,text,text,null,null,null,NO,null,null,null
messages,worker_id,uuid,uuid,null,null,null,YES,null,FOREIGN KEY,contractor_workers
messages,content,text,text,null,null,null,YES,null,null,null
messages,message_type,text,text,null,null,null,YES,'text'::text,null,null
messages,ai_summary,text,text,null,null,null,YES,null,null,null
messages,created_at,timestamp with time zone,timestamptz,null,null,null,YES,now(),null,null
organizations,id,uuid,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
organizations,name,text,text,null,null,null,NO,null,null,null
organizations,template,text,text,null,null,null,YES,'general_contracting'::text,null,null
organizations,settings,jsonb,jsonb,null,null,null,YES,'{}'::jsonb,null,null
organizations,created_at,timestamp with time zone,timestamptz,null,null,null,YES,now(),null,null
organizations,updated_at,timestamp with time zone,timestamptz,null,null,null,YES,now(),null,null
project_templates,id,uuid,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
project_templates,org_id,uuid,uuid,null,null,null,NO,null,FOREIGN KEY,organizations
project_templates,name,text,text,null,null,null,NO,null,null,null
project_templates,description,text,text,null,null,null,YES,null,null,null
project_templates,industry,text,text,null,null,null,YES,null,null,null
project_templates,project_subtype,text,text,null,null,null,YES,null,null,null
project_templates,project_type_default,text,text,null,null,null,YES,'direct'::text,null,null
project_templates,scaffold_data,jsonb,jsonb,null,null,null,NO,null,null,null
project_templates,default_settings,jsonb,jsonb,null,null,null,YES,null,null,null
project_templates,is_system,boolean,bool,null,null,null,YES,false,null,null
project_templates,version,integer,int4,null,32,0,NO,1,null,null
project_templates,usage_count,integer,int4,null,32,0,NO,0,null,null
project_templates,created_by,uuid,uuid,null,null,null,YES,null,null,null
project_templates,source,text,text,null,null,null,YES,'manual'::text,null,null
project_templates,source_project_id,uuid,uuid,null,null,null,YES,null,FOREIGN KEY,projects
project_templates,tags,ARRAY,_text,null,null,null,YES,'{}'::text[],null,null
project_templates,is_archived,boolean,bool,null,null,null,YES,false,null,null
project_templates,created_at,timestamp with time zone,timestamptz,null,null,null,YES,now(),null,null
project_templates,updated_at,timestamp with time zone,timestamptz,null,null,null,YES,now(),null,null
projects,id,uuid,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
projects,org_id,uuid,uuid,null,null,null,NO,null,FOREIGN KEY,organizations
projects,title,text,text,null,null,null,NO,null,null,null
projects,description,text,text,null,null,null,YES,null,null,null
projects,total_budget,numeric,numeric,null,12,2,YES,null,null,null
projects,start_date,date,date,null,null,null,YES,null,null,null
projects,end_date,date,date,null,null,null,YES,null,null,null
